domain,count,percentage
t.me,65089,72.69
viber.com,4409,4.92
bit.ly,1618,1.81
tinyurl.com,831,0.93
r-kioski.fi,672,0.75
repli.rs,565,0.63
cred.ee,552,0.62
smsb.co,326,0.36
page.link,289,0.32
ptlk.me,259,0.29
Others,14939,16.68
